ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb
2005,Centro-Oeste,estadual,fundamental,EFAF,72.1,0.72182798,233.5,227.88,4.3564529,3.1
2005,Centro-Oeste,estadual,fundamental,EFAI,83.0,0.83708102,185.38,172.13,4.631618,3.9
2005,Centro-Oeste,estadual,medio,EM,68.0,0.69513798,261.23,251.52,4.1236539,2.9
2005,Centro-Oeste,privada,fundamental,EFAF,94.4,0.94349098,283.57,266.82,5.8401828,5.5
2005,Centro-Oeste,privada,fundamental,EFAI,97.3,0.97238803,223.64,210.36,6.057024,5.9
2005,Centro-Oeste,privada,medio,EM,92.4,0.94317901,338.52,309.85,6.08284,5.7
2005,Nordeste,estadual,fundamental,EFAF,66.8,0.668975,219.58,215.92,3.9250629,2.6
2005,Nordeste,estadual,fundamental,EFAI,73.8,0.743397,162.61,156.61,3.915113,2.9
2005,Nordeste,estadual,medio,EM,68.2,0.73081899,247.52,237.1,3.7153449,2.7
2005,Nordeste,privada,fundamental,EFAF,92.2,0.92223901,282.1,265.69,5.7967,5.3
2005,Nordeste,privada,fundamental,EFAI,96.0,0.95201099,211.16,199.88,5.6283898,5.4
2005,Nordeste,privada,medio,EM,90.8,0.91683102,319.33,299.08,5.6520138,5.2
2005,Norte,estadual,fundamental,EFAF,75.3,0.75484103,222.83,223.0,4.0973878,3.1
2005,Norte,estadual,fundamental,EFAI,77.5,0.79540402,166.39,161.3,4.0724602,3.2
2005,Norte,estadual,medio,EM,68.8,0.73704499,243.61,236.07,3.6451139,2.7
2005,Norte,privada,fundamental,EFAF,95.1,0.95044398,273.47,265.47,5.648932,5.4
2005,Norte,privada,fundamental,EFAI,96.7,0.973575,211.05,202.33,5.670455,5.5
2005,Norte,privada,medio,EM,92.0,0.90821999,313.26,298.51,5.558136,5.0
2005,Sudeste,estadual,fundamental,EFAF,82.1,0.81865501,236.16,229.8,4.433012,3.6
2005,Sudeste,estadual,fundamental,EFAI,92.4,0.92818898,190.33,180.47,4.8775969,4.5
2005,Sudeste,estadual,medio,EM,73.2,0.76945901,264.57,253.5,4.200542,3.2
2005,Sudeste,privada,fundamental,EFAF,95.4,0.95374,302.26,281.51,6.3963079,6.1
2005,Sudeste,privada,fundamental,EFAI,98.0,0.97385699,236.83,218.78,6.4617591,6.3
2005,Sudeste,privada,medio,EM,93.6,0.93311501,339.57,310.42,6.1058168,5.7
2005,Sul,estadual,fundamental,EFAF,76.1,0.763071,244.61,231.92,4.6090631,3.5
2005,Sul,estadual,fundamental,EFAI,86.3,0.84558803,194.36,182.41,4.9900341,4.2
2005,Sul,estadual,medio,EM,69.1,0.734231,282.73,264.92,4.6266208,3.4
2005,Sul,privada,fundamental,EFAF,96.1,0.96047699,297.83,282.54,6.33954,6.1
2005,Sul,privada,fundamental,EFAI,97.5,0.962726,233.72,218.97,6.406137,6.2
2005,Sul,privada,medio,EM,94.2,0.95254701,342.2,310.55,6.1449189,5.9
2007,Centro-Oeste,estadual,fundamental,EFAF,77.0,0.771061,241.61,229.05,4.5110002,3.5
2007,Centro-Oeste,estadual,fundamental,EFAI,88.1,0.88665098,198.14,181.16,5.043973,4.5
2007,Centro-Oeste,estadual,medio,EM,69.9,0.72826302,262.72,252.77,4.1635342,3.0
2007,Centro-Oeste,privada,fundamental,EFAF,95.1,0.950221,291.89,271.13,6.0504999,5.7
2007,Centro-Oeste,privada,fundamental,EFAI,97.9,0.97938299,224.91,207.97,6.043345,5.9
2007,Centro-Oeste,privada,medio,EM,93.0,0.93466598,328.86,305.2,5.877337,5.5
2007,Nordeste,estadual,fundamental,EFAF,69.0,0.69203001,226.92,217.94,4.0813332,2.8
2007,Nordeste,estadual,fundamental,EFAI,77.2,0.77756703,177.08,161.08,4.2764912,3.3
2007,Nordeste,estadual,medio,EM,69.6,0.73864901,250.07,241.52,3.817302,2.8
2007,Nordeste,privada,fundamental,EFAF,93.2,0.93299198,282.67,264.04,5.778667,5.4
2007,Nordeste,privada,fundamental,EFAI,96.5,0.96436,214.57,199.67,5.694603,5.5
2007,Nordeste,privada,medio,EM,92.5,0.93450999,312.11,295.95,5.5036111,5.1
2007,Norte,estadual,fundamental,EFAF,76.0,0.76325601,232.82,224.74,4.2926669,3.3
2007,Norte,estadual,fundamental,EFAI,79.6,0.812572,181.91,167.41,4.483552,3.6
2007,Norte,estadual,medio,EM,68.4,0.72423899,247.3,239.36,3.7463529,2.7
2007,Norte,privada,fundamental,EFAF,95.3,0.95274502,274.02,261.38,5.590167,5.3
2007,Norte,privada,fundamental,EFAI,96.9,0.96914202,215.46,202.16,5.756721,5.6
2007,Norte,privada,medio,EM,93.6,0.94492698,306.86,297.2,5.4487381,5.1
2007,Sudeste,estadual,fundamental,EFAF,83.1,0.82951701,244.57,232.69,4.6209998,3.8
2007,Sudeste,estadual,fundamental,EFAI,93.3,0.93755698,196.78,179.19,4.9823341,4.7
2007,Sudeste,estadual,medio,EM,73.8,0.77840698,269.22,260.6,4.3720412,3.4
2007,Sudeste,privada,fundamental,EFAF,95.7,0.95698702,301.83,279.85,6.3614998,6.1
2007,Sudeste,privada,fundamental,EFAI,98.4,0.98339599,236.78,217.13,6.4365911,6.3
2007,Sudeste,privada,medio,EM,94.4,0.935965,338.82,312.2,6.1218748,5.7
2007,Sul,estadual,fundamental,EFAF,80.5,0.80658698,252.08,237.05,4.8189998,3.9
2007,Sul,estadual,fundamental,EFAI,89.4,0.89544803,200.53,182.66,5.1171069,4.6
2007,Sul,estadual,medio,EM,73.6,0.77369398,281.95,267.17,4.6490369,3.6
2007,Sul,privada,fundamental,EFAF,96.0,0.95998001,299.76,278.79,6.3091669,6.1
2007,Sul,privada,fundamental,EFAI,98.1,0.982364,236.69,217.61,6.443603,6.3
2007,Sul,privada,medio,EM,94.7,0.956204,339.98,310.23,6.108676,5.8
2009,Centro-Oeste,estadual,fundamental,EFAF,80.8,0.80797899,241.83,239.41,4.6876669,3.8
2009,Centro-Oeste,estadual,fundamental,EFAI,91.0,0.91222399,211.21,191.55,5.4825139,5.0
2009,Centro-Oeste,estadual,medio,EM,70.9,0.74343401,262.39,260.1,4.2686291,3.2
2009,Centro-Oeste,privada,fundamental,EFAF,94.6,0.94572401,293.79,276.73,6.175333,5.8
2009,Centro-Oeste,privada,fundamental,EFAI,98.3,0.982997,237.69,219.35,6.4943619,6.4
2009,Centro-Oeste,privada,medio,EM,92.6,0.94449103,336.26,315.3,6.132617,5.8
2009,Nordeste,estadual,fundamental,EFAF,70.7,0.70670402,228.94,227.72,4.277667,3.0
2009,Nordeste,estadual,fundamental,EFAI,80.4,0.81162,184.33,167.16,4.5256171,3.7
2009,Nordeste,estadual,medio,EM,72.1,0.76222903,253.58,252.25,4.0275192,3.1
2009,Nordeste,privada,fundamental,EFAF,93.3,0.93248397,284.66,271.32,5.9330001,5.5
2009,Nordeste,privada,fundamental,EFAI,96.7,0.96697998,224.82,207.86,6.0392509,5.8
2009,Nordeste,privada,medio,EM,92.4,0.92139602,317.79,303.05,5.689683,5.2
2009,Norte,estadual,fundamental,EFAF,77.9,0.78032398,233.69,235.52,4.487,3.5
2009,Norte,estadual,fundamental,EFAI,85.7,0.86324799,192.83,176.63,4.8601022,4.2
2009,Norte,estadual,medio,EM,71.5,0.75665301,256.79,256.47,4.1356268,3.1
2009,Norte,privada,fundamental,EFAF,95.1,0.95049399,271.58,262.69,5.5713329,5.3
2009,Norte,privada,fundamental,EFAI,97.1,0.970761,225.85,211.14,6.1187782,5.9
2009,Norte,privada,medio,EM,94.0,0.93628597,317.22,307.3,5.7452998,5.4
2009,Sudeste,estadual,fundamental,EFAF,84.9,0.84855002,246.61,242.69,4.8218331,4.1
2009,Sudeste,estadual,fundamental,EFAI,95.8,0.96213198,215.92,192.33,5.5868888,5.4
2009,Sudeste,estadual,medio,EM,75.3,0.789505,270.7,266.26,4.4775491,3.5
2009,Sudeste,privada,fundamental,EFAF,95.0,0.95023,298.94,283.05,6.3666668,6.0
2009,Sudeste,privada,fundamental,EFAI,98.1,0.98059601,252.11,228.36,6.9339671,6.8
2009,Sudeste,privada,medio,EM,93.5,0.93516999,331.29,311.08,5.99964,5.6
2009,Sul,estadual,fundamental,EFAF,80.6,0.806804,252.99,247.16,5.0025001,4.0
2009,Sul,estadual,fundamental,EFAI,90.9,0.90901798,209.02,188.69,5.388835,4.9
2009,Sul,estadual,medio,EM,74.3,0.78458297,285.5,275.92,4.8300338,3.8
2009,Sul,privada,fundamental,EFAF,95.7,0.95747799,304.79,285.38,6.5029998,6.2
2009,Sul,privada,fundamental,EFAI,98.2,0.98216599,248.44,226.67,6.8331022,6.7
2009,Sul,privada,medio,EM,94.3,0.94650298,343.25,317.63,6.2653809,5.9
2011,Centro-Oeste,estadual,fundamental,EFAF,82.9,0.82841802,245.64,239.63,4.7548332,3.9
2011,Centro-Oeste,estadual,fundamental,EFAI,91.8,0.92079002,215.39,196.61,5.6546168,5.2
2011,Centro-Oeste,estadual,medio,EM,72.4,0.74653298,269.02,265.23,4.438684,3.3
2011,Centro-Oeste,privada,fundamental,EFAF,95.1,0.95098698,294.1,279.8,6.231833,5.9
2011,Centro-Oeste,privada,fundamental,EFAI,98.6,0.98559803,247.16,226.42,6.8040972,6.7
2011,Centro-Oeste,privada,medio,EM,93.3,0.9508,328.14,307.73,5.9052491,5.6
2011,Nordeste,estadual,fundamental,EFAF,72.9,0.72796899,231.35,226.85,4.3033328,3.1
2011,Nordeste,estadual,fundamental,EFAI,83.5,0.84486198,187.69,171.77,4.6734838,3.9
2011,Nordeste,estadual,medio,EM,74.2,0.77838498,248.8,248.11,3.8984079,3.0
2011,Nordeste,privada,fundamental,EFAF,93.3,0.932495,285.91,273.35,5.987833,5.6
2011,Nordeste,privada,fundamental,EFAI,97.0,0.97059298,227.41,210.33,6.1336699,6.0
2011,Nordeste,privada,medio,EM,92.9,0.93570203,320.45,304.64,5.7509861,5.4
2011,Norte,estadual,fundamental,EFAF,80.4,0.80564803,236.55,233.38,4.4990001,3.6
2011,Norte,estadual,fundamental,EFAI,89.6,0.89994103,196.0,180.57,4.9923511,4.5
2011,Norte,estadual,medio,EM,73.8,0.78132403,249.86,250.75,3.9525261,3.1
2011,Norte,privada,fundamental,EFAF,94.9,0.94899398,281.01,272.89,5.8985,5.6
2011,Norte,privada,fundamental,EFAI,97.7,0.97718799,228.08,213.86,6.210866,6.1
2011,Norte,privada,medio,EM,93.6,0.93787301,311.04,301.92,5.5778141,5.2
2011,Sudeste,estadual,fundamental,EFAF,86.6,0.86514503,248.25,242.61,4.8476672,4.2
2011,Sudeste,estadual,fundamental,EFAI,97.3,0.97456002,217.61,196.19,5.6893859,5.5
2011,Sudeste,estadual,medio,EM,76.3,0.78967398,274.92,269.73,4.5887742,3.6
2011,Sudeste,privada,fundamental,EFAF,94.7,0.94723701,306.11,287.92,6.5675001,6.2
2011,Sudeste,privada,fundamental,EFAI,98.0,0.97959799,252.61,230.66,6.985177,6.8
2011,Sudeste,privada,medio,EM,93.5,0.93942302,339.22,317.45,6.2062349,5.8
2011,Sul,estadual,fundamental,EFAF,81.6,0.81579798,254.28,244.94,4.9873328,4.1
2011,Sul,estadual,fundamental,EFAI,92.9,0.93093801,217.82,199.32,5.7501531,5.4
2011,Sul,estadual,medio,EM,75.4,0.792418,279.47,268.67,4.6366611,3.7
2011,Sul,privada,fundamental,EFAF,95.6,0.95546198,305.95,284.7,6.5108328,6.2
2011,Sul,privada,fundamental,EFAI,98.4,0.98336601,257.42,231.13,7.0854421,7.0
2011,Sul,privada,medio,EM,94.1,0.94845498,346.42,319.54,6.3386459,6.0
2013,Centro-Oeste,estadual,fundamental,EFAF,87.0,0.86989897,246.08,242.41,4.8083329,4.2
2013,Centro-Oeste,estadual,fundamental,EFAI,94.2,0.94299901,217.35,201.02,5.7722788,5.4
2013,Centro-Oeste,estadual,medio,EM,74.6,0.76656598,264.75,259.7,4.2957869,3.3
2013,Centro-Oeste,privada,fundamental,EFAF,95.8,0.95848399,291.98,280.08,6.2011671,5.9
2013,Centro-Oeste,privada,fundamental,EFAI,98.9,0.988796,245.8,231.0,6.8612318,6.8
2013,Centro-Oeste,privada,medio,EM,94.3,0.95820397,324.3,307.61,5.8495202,5.6
2013,Nordeste,estadual,fundamental,EFAF,75.2,0.749358,232.36,229.52,4.3648329,3.3
2013,Nordeste,estadual,fundamental,EFAI,85.7,0.86915302,188.1,174.8,4.7364359,4.1
2013,Nordeste,estadual,medio,EM,77.5,0.80334997,246.19,241.55,3.763397,3.0
2013,Nordeste,privada,fundamental,EFAF,93.7,0.93699199,283.2,273.8,5.9503331,5.6
2013,Nordeste,privada,fundamental,EFAI,97.3,0.973194,230.8,217.38,6.3268681,6.2
2013,Nordeste,privada,medio,EM,93.4,0.93525702,309.41,298.85,5.5089631,5.2
2013,Norte,estadual,fundamental,EFAF,80.4,0.80523199,235.36,235.19,4.5095,3.6
2013,Norte,estadual,fundamental,EFAI,90.7,0.91277099,197.44,184.89,5.0984402,4.7
2013,Norte,estadual,medio,EM,73.7,0.77993798,245.49,243.47,3.7821679,2.9
2013,Norte,privada,fundamental,EFAF,94.9,0.94872701,273.38,271.51,5.748167,5.5
2013,Norte,privada,fundamental,EFAI,98.1,0.98099899,225.86,218.49,6.2524881,6.1
2013,Norte,privada,medio,EM,94.2,0.94504601,299.85,293.98,5.301939,5.0
2013,Sudeste,estadual,fundamental,EFAF,90.4,0.90367001,248.05,242.52,4.842833,4.4
2013,Sudeste,estadual,fundamental,EFAI,98.4,0.98432797,224.17,206.58,6.0037389,5.9
2013,Sudeste,estadual,medio,EM,80.6,0.81529802,269.55,266.73,4.4685831,3.6
2013,Sudeste,privada,fundamental,EFAF,94.7,0.94648701,299.72,284.17,6.3981671,6.1
2013,Sudeste,privada,fundamental,EFAI,97.8,0.97858799,252.91,236.6,7.0987701,6.9
2013,Sudeste,privada,medio,EM,93.7,0.91090399,327.07,309.5,5.9165678,5.4
2013,Sul,estadual,fundamental,EFAF,81.6,0.81503898,250.11,244.3,4.9070001,4.0
2013,Sul,estadual,fundamental,EFAI,93.1,0.93522,222.08,205.8,5.9496069,5.6
2013,Sul,estadual,medio,EM,76.3,0.80379498,272.13,262.25,4.4374628,3.6
2013,Sul,privada,fundamental,EFAF,95.8,0.95797098,306.25,289.26,6.592,6.3
2013,Sul,privada,fundamental,EFAI,98.5,0.98518199,260.48,242.63,7.3534741,7.2
2013,Sul,privada,medio,EM,94.6,0.95244199,331.32,311.82,6.0109992,5.7
2015,Centro-Oeste,estadual,fundamental,EFAF,86.6,0.86555701,253.22,250.58,5.063333,4.4
2015,Centro-Oeste,estadual,fundamental,EFAI,93.9,0.939888,218.77,209.46,5.9527569,5.6
2015,Centro-Oeste,estadual,medio,EM,76.1,0.783283,263.51,265.8,4.369689,3.4
2015,Centro-Oeste,privada,fundamental,EFAF,96.5,0.96448499,296.95,287.97,6.4153328,6.2
2015,Centro-Oeste,privada,fundamental,EFAI,99.0,0.98979902,249.13,239.25,7.0749311,7.0
2015,Centro-Oeste,privada,medio,EM,95.0,0.95100099,311.14,307.55,5.66365,5.4
2015,Nordeste,estadual,fundamental,EFAF,75.5,0.74984598,241.17,238.61,4.663167,3.5
2015,Nordeste,estadual,fundamental,EFAI,85.5,0.86632901,197.67,186.77,5.1372242,4.5
2015,Nordeste,estadual,medio,EM,78.7,0.81338298,250.21,249.16,3.933789,3.2
2015,Nordeste,privada,fundamental,EFAF,94.4,0.94399601,282.26,277.54,5.9968328,5.7
2015,Nordeste,privada,fundamental,EFAI,97.6,0.975995,229.92,224.25,6.4350319,6.3
2015,Nordeste,privada,medio,EM,93.9,0.94767302,298.45,299.92,5.371048,5.1
2015,Norte,estadual,fundamental,EFAF,81.9,0.81945401,241.33,241.17,4.7086668,3.9
2015,Norte,estadual,fundamental,EFAI,90.6,0.91088802,207.77,198.16,5.537024,5.0
2015,Norte,estadual,medio,EM,75.5,0.79331499,253.19,255.21,4.0662031,3.2
2015,Norte,privada,fundamental,EFAF,95.7,0.95624,277.3,276.17,5.8913331,5.6
2015,Norte,privada,fundamental,EFAI,98.3,0.98279297,231.63,226.25,6.504077,6.4
2015,Norte,privada,medio,EM,94.4,0.890055,291.95,297.64,5.2456241,4.7
2015,Sudeste,estadual,fundamental,EFAF,89.5,0.89543402,253.14,248.96,5.0351672,4.5
2015,Sudeste,estadual,fundamental,EFAI,98.5,0.98488098,233.8,219.17,6.4169421,6.3
2015,Sudeste,estadual,medio,EM,83.1,0.831541,264.61,266.33,4.3932128,3.7
2015,Sudeste,privada,fundamental,EFAF,95.4,0.95398903,302.39,290.1,6.541667,6.2
2015,Sudeste,privada,fundamental,EFAI,98.1,0.98119301,249.88,239.25,7.0894532,7.0
2015,Sudeste,privada,medio,EM,94.5,0.94951999,314.82,309.39,5.7430201,5.5
2015,Sul,estadual,fundamental,EFAF,83.4,0.83482802,257.45,253.25,5.1783328,4.3
2015,Sul,estadual,fundamental,EFAI,92.5,0.927885,222.61,212.55,6.08252,5.6
2015,Sul,estadual,medio,EM,76.4,0.79535002,266.04,266.72,4.4189858,3.5
2015,Sul,privada,fundamental,EFAF,96.4,0.96347499,308.7,294.42,6.718833,6.5
2015,Sul,privada,fundamental,EFAI,98.7,0.98719198,261.26,247.55,7.4575019,7.4
2015,Sul,privada,medio,EM,95.0,0.95972502,319.51,314.35,5.8830018,5.6
2017,Centro-Oeste,estadual,fundamental,EFAF,91.0,0.909657,256.95,258.6,5.2593331,4.8
2017,Centro-Oeste,estadual,fundamental,EFAI,94.8,0.94906402,225.35,216.6,6.2083631,5.9
2017,Centro-Oeste,estadual,medio,EM,81.5,0.84216499,266.85,265.76,4.4159908,3.7
2017,Centro-Oeste,privada,fundamental,EFAF,97.4,0.97349602,299.05,292.66,6.528667,6.4
2017,Centro-Oeste,privada,fundamental,EFAI,99.2,0.991997,253.66,243.44,7.2378969,7.2
2017,Centro-Oeste,privada,medio,EM,95.8,0.95928103,328.22,311.86,5.9680581,5.7
2017,Nordeste,estadual,fundamental,EFAF,79.4,0.791682,240.19,244.14,4.7391672,3.8
2017,Nordeste,estadual,fundamental,EFAI,87.9,0.88701099,201.35,193.66,5.3324981,4.7
2017,Nordeste,estadual,medio,EM,81.6,0.81519699,251.11,251.08,3.975023,3.2
2017,Nordeste,privada,fundamental,EFAF,95.7,0.95649201,286.58,282.79,6.156333,5.9
2017,Nordeste,privada,fundamental,EFAI,98.2,0.98199803,236.1,230.33,6.6635218,6.5
2017,Nordeste,privada,medio,EM,95.0,0.95004803,318.05,308.08,5.768775,5.5
2017,Norte,estadual,fundamental,EFAF,86.1,0.86161602,243.39,248.75,4.8691669,4.2
2017,Norte,estadual,fundamental,EFAI,92.0,0.92473602,216.5,208.55,5.8930211,5.4
2017,Norte,estadual,medio,EM,78.7,0.82477403,245.61,246.74,3.8329461,3.2
2017,Norte,privada,fundamental,EFAF,97.0,0.96974099,284.76,287.36,6.202167,6.0
2017,Norte,privada,fundamental,EFAI,98.7,0.98659301,239.66,236.69,6.8474178,6.8
2017,Norte,privada,medio,EM,95.8,0.96268398,316.26,307.73,5.7383952,5.5
2017,Sudeste,estadual,fundamental,EFAF,89.3,0.89250797,253.82,255.27,5.1515002,4.6
2017,Sudeste,estadual,fundamental,EFAI,98.7,0.98709399,235.92,225.36,6.5698671,6.5
2017,Sudeste,estadual,medio,EM,83.0,0.826352,264.89,265.89,4.3902688,3.6
2017,Sudeste,privada,fundamental,EFAF,96.6,0.966241,312.45,300.17,6.8773332,6.6
2017,Sudeste,privada,fundamental,EFAI,98.6,0.986193,261.48,248.33,7.4760852,7.4
2017,Sudeste,privada,medio,EM,95.9,0.95217001,335.19,318.72,6.1684961,5.9
2017,Sul,estadual,fundamental,EFAF,84.3,0.84297299,263.01,262.44,5.4243331,4.6
2017,Sul,estadual,fundamental,EFAI,92.6,0.92954397,225.63,217.77,6.2351871,5.8
2017,Sul,estadual,medio,EM,76.3,0.79893899,269.85,267.6,4.4858198,3.6
2017,Sul,privada,fundamental,EFAF,97.2,0.97148502,312.57,299.5,6.8678331,6.7
2017,Sul,privada,fundamental,EFAI,99.0,0.98999298,265.17,249.88,7.574595,7.5
2017,Sul,privada,medio,EM,96.1,0.96662301,335.42,317.17,6.1485229,5.9
2019,Centro-Oeste,estadual,fundamental,EFAF,92.0,0.92093402,258.16,256.51,5.2446671,4.8
2019,Centro-Oeste,estadual,fundamental,EFAI,95.2,0.95277101,227.03,215.5,6.220645,5.9
2019,Centro-Oeste,estadual,medio,EM,83.1,0.87299597,276.52,278.72,4.7458181,4.1
2019,Centro-Oeste,privada,fundamental,EFAF,97.8,0.97724003,303.88,294.57,6.6408329,6.5
2019,Centro-Oeste,privada,fundamental,EFAI,99.4,0.99400002,255.66,244.11,7.2882991,7.2
2019,Centro-Oeste,privada,medio,EM,96.6,0.959364,340.64,322.82,6.3065591,6.1
2019,Nordeste,estadual,fundamental,EFAF,84.0,0.83653003,246.07,246.44,4.8751669,4.1
2019,Nordeste,estadual,fundamental,EFAI,90.2,0.90820497,206.53,195.61,5.4673181,5.0
2019,Nordeste,estadual,medio,EM,85.3,0.840819,259.14,263.48,4.2734318,3.6
2019,Nordeste,privada,fundamental,EFAF,96.4,0.96424598,292.05,286.6,6.3111668,6.1
2019,Nordeste,privada,fundamental,EFAI,98.6,0.98579901,238.74,228.77,6.6855879,6.6
2019,Nordeste,privada,medio,EM,95.6,0.96059197,325.14,316.83,5.999341,5.8
2019,Norte,estadual,fundamental,EFAF,88.7,0.88744497,246.69,247.02,4.8951669,4.3
2019,Norte,estadual,fundamental,EFAI,93.1,0.93490797,217.91,207.3,5.8972149,5.5
2019,Norte,estadual,medio,EM,80.2,0.82945001,251.82,257.3,4.078258,3.4
2019,Norte,privada,fundamental,EFAF,97.4,0.97348702,288.83,287.33,6.2696671,6.1
2019,Norte,privada,fundamental,EFAI,98.9,0.98919398,244.07,235.82,6.9156728,6.8
2019,Norte,privada,medio,EM,96.5,0.97121102,322.95,317.67,5.9810171,5.8
2019,Sudeste,estadual,fundamental,EFAF,92.2,0.92220002,260.32,258.98,5.3218331,4.9
2019,Sudeste,estadual,fundamental,EFAI,99.1,0.99096298,239.08,222.94,6.5860338,6.5
2019,Sudeste,estadual,medio,EM,86.4,0.86483699,274.1,277.55,4.6943231,4.1
2019,Sudeste,privada,fundamental,EFAF,97.4,0.97349799,308.17,296.73,6.7484999,6.6
2019,Sudeste,privada,fundamental,EFAI,98.9,0.98919499,262.67,248.19,7.4960852,7.4
2019,Sudeste,privada,medio,EM,96.6,0.966483,336.51,323.27,6.2552991,6.0
2019,Sul,estadual,fundamental,EFAF,87.7,0.87780702,266.27,262.42,5.4784999,4.8
2019,Sul,estadual,fundamental,EFAI,93.1,0.93236202,227.25,218.03,6.2708611,5.8
2019,Sul,estadual,medio,EM,81.8,0.84731501,280.89,280.85,4.8392301,4.1
2019,Sul,privada,fundamental,EFAF,97.6,0.97574002,313.11,300.16,6.888,6.7
2019,Sul,privada,fundamental,EFAI,99.1,0.99059498,264.23,246.69,7.4987888,7.4
2019,Sul,privada,medio,EM,96.6,0.97221398,345.07,327.86,6.4443769,6.3
2021,Norte,privada,fundamental,EFAI,99.2,0.991599,236.6,231.88,6.701271,6.6
2021,Norte,estadual,fundamental,EFAI,95.6,0.958219,211.18,204.93,5.72533,5.5
2021,Nordeste,privada,fundamental,EFAI,98.9,0.988796,238.16,230.69,6.709432,6.6
2021,Nordeste,estadual,fundamental,EFAI,94.4,0.949618,198.66,190.17,5.217615,5.0
2021,Sudeste,privada,fundamental,EFAI,99.2,0.991397,256.41,244.75,7.313898,7.3
2021,Sudeste,estadual,fundamental,EFAI,98.8,0.987596,223.97,214.25,6.139248,6.1
2021,Sul,privada,fundamental,EFAI,99.1,0.990795,260.41,248.54,7.459269,7.4
2021,Sul,estadual,fundamental,EFAI,98.5,0.984785,219.87,214.33,6.062363,6.0
2021,Centro-Oeste,privada,fundamental,EFAI,99.4,0.994,255.51,245.18,7.304524,7.3
2021,Centro-Oeste,estadual,fundamental,EFAI,96.4,0.962585,217.1,210.06,5.931762,5.7
2021,Norte,privada,fundamental,EFAF,98.8,0.987499,283.09,286.17,6.154333,6.1
2021,Norte,estadual,fundamental,EFAF,92.5,0.924929,244.07,248.34,4.8735,4.5
2021,Nordeste,privada,fundamental,EFAF,98.3,0.982499,282.28,282.48,6.079333,6.0
2021,Nordeste,estadual,fundamental,EFAF,93.8,0.938125,243.1,248.04,4.852333,4.6
2021,Sudeste,privada,fundamental,EFAF,98.9,0.988499,295.72,289.89,6.426833,6.4
2021,Sudeste,estadual,fundamental,EFAF,97.1,0.970735,256.58,259.54,5.268667,5.1
2021,Sul,privada,fundamental,EFAF,98.5,0.984994,304.52,298.61,6.718833,6.6
2021,Sul,estadual,fundamental,EFAF,95.5,0.954695,260.29,260.1,5.339833,5.1
2021,Centro-Oeste,privada,fundamental,EFAF,98.8,0.987997,297.59,292.04,6.493833,6.4
2021,Centro-Oeste,estadual,fundamental,EFAF,96.5,0.96538,253.63,255.31,5.149,5.0
2021,Norte,privada,medio,EM,98.1,0.973803,303.12,303.99,5.497566,5.4
2021,Norte,estadual,medio,EM,80.8,0.831054,250.28,258.94,4.08103,3.4
2021,Nordeste,privada,medio,EM,98.1,0.949781,311.91,309.45,5.702758,5.4
2021,Nordeste,estadual,medio,EM,90.5,0.909808,253.64,261.06,4.159958,3.8
2021,Sudeste,privada,medio,EM,98.7,0.913649,328.72,317.89,6.0652,5.5
2021,Sudeste,estadual,medio,EM,92.9,0.889286,267.04,274.92,4.555645,4.1
2021,Sul,privada,medio,EM,98.3,0.972665,329.04,317.96,6.070743,5.9
2021,Sul,estadual,medio,EM,88.2,0.881802,276.23,280.28,4.764957,4.2
2021,Centro-Oeste,privada,medio,EM,98.6,0.990196,324.06,313.85,5.939272,5.9
2021,Centro-Oeste,estadual,medio,EM,88.4,0.872412,267.71,273.0,4.536312,4.0
