ano,sigla_uf,regiao,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
2019,AL,Nordeste,58963728728,5931434761,53032293962,9459893055,6411652455,23729136025,13431612421
2020,AL,Nordeste,63202348928,6060837402,57141511516,12622357004,7391279855,22733527234,14394347424
2002,SE,Nordeste,10332493905,1062189810,9270304103,601192747,2978220720,3469750027,2221140605
2003,SE,Nordeste,11749573695,1191692948,10557880750,866165576,3521983964,3701329401,2468401804
2004,SE,Nordeste,13336257992,1258741181,12077516819,806033812,4056643290,4539873750,2674965966
2005,SE,Nordeste,14430118490,1490164560,12939953932,851974700,4119330799,4844757868,3123890565
2006,SE,Nordeste,16419797845,1696903165,14722894683,1044477663,4432589328,5403488958,3842338732
2007,SE,Nordeste,18218449648,1801326349,16417123297,1031969621,4991424616,6158439704,4235289352
2008,SE,Nordeste,21418377992,2070681350,19347696640,1385385193,6310651288,6680446082,4971214083
2009,SE,Nordeste,21707243228,2117886064,19589357166,1607891758,5241591066,7301374421,5438499927
2010,SE,Nordeste,26404893223,2718059430,23686833790,1511775214,6858592449,9004883838,6311582293
2011,SE,Nordeste,29108271857,3070370971,26037900886,1359470749,7732915421,10147234441,6798280283
2012,SE,Nordeste,32853180807,3494315078,29358865725,1496450133,8956934520,11623147431,7282333642
2013,SE,Nordeste,35335986073,3727323962,31608662117,1797382859,8076492543,13528257428,8206529290
2014,SE,Nordeste,37472431502,3807651699,33664779806,1761811314,8297844014,14542800019,9062324463
2015,SE,Nordeste,38556530458,4047957915,34508572550,1732538773,7849195045,15348259906,9578578820
2016,SE,Nordeste,38877438482,4125537525,34751900963,1725189808,6974076683,16188209375,9864425089
2017,SE,Nordeste,40711486162,4299330477,36412155680,1966337070,6968355124,16964188739,10513274748
2018,SE,Nordeste,42017981279,4736116226,37281865059,1420290531,7457822878,17568466651,10835284997
2019,SE,Nordeste,44689482882,4818217747,39871265137,2037646835,7863195173,18141108847,11829314276
2020,SE,Nordeste,45409656566,4721691528,40687965041,2583361937,8906254776,17160838997,12037509338
2002,BA,Nordeste,58842975944,8368251983,50474723959,6612124525,11847928358,22322715730,9691955360
2003,BA,Nordeste,67174226862,9315868990,57858357873,7611625563,14017834242,25425185909,10803712149
2004,BA,Nordeste,77931724707,11552157306,66379567393,8695861302,17166806513,28779620183,11737279408
2005,BA,Nordeste,88291882625,13369419930,74922462704,7732466235,20014166399,33157999769,14017830284
2006,BA,Nordeste,95347801942,14669452554,80678349379,7958330202,20683390171,36028130178,16008498825
2007,BA,Nordeste,109329527526,15239840384,94089687149,9836861645,22418319571,44026546766,17807959152
2008,BA,Nordeste,121667454628,17034698710,104632755904,10248862930,25845257029,48470973908,20067662040
2009,BA,Nordeste,137942480645,16805537187,121136943452,10605794955,30277240319,57017261201,23236646981
2010,BA,Nordeste,154419547376,19004541345,135415006031,10709344117,36739895080,62199712691,25766054140
2011,BA,Nordeste,166602816895,20875761754,145727055136,11886321129,34633631301,70147077595,29060025131
2012,BA,Nordeste,182572530053,23276635837,159295894227,12779208866,35141826200,79329536739,32045322419
2013,BA,Nordeste,204844273539,26582573296,178261700261,13102101871,36471348021,92134231979,36554018378
2014,BA,Nordeste,223929966172,27727123523,196202842649,15483991943,41143347750,99338759872,40236743073
2015,BA,Nordeste,245043689661,29057553075,215986136565,17854430057,47768326699,106058085398,44305294405
2016,BA,Nordeste,258738970256,30409628464,228329341794,16533810479,54109026890,111129517803,46556986636
2017,BA,Nordeste,268724090234,32586182265,236137907960,15826853041,53019800573,118105040796,49186213539
2018,BA,Nordeste,286239541110,35705701804,250533839302,19095907512,53968696886,126322349821,51146885083
2019,BA,Nordeste,293240503586,36771959788,256468543806,17488117389,56013541421,127392284303,55574600699
2020,BA,Nordeste,305320812691,37094030606,268226782074,28006935845,59491629932,122722534188,58005682122
2002,MG,Sudeste,124071066407,17894892081,106176174317,6708709420,30290977876,50444731729,18731755303
2003,MG,Sudeste,144189093833,20400218333,123788875491,8190301810,37218980147,57958475412,20421118144
2004,MG,Sudeste,171870933838,22737515844,149133418006,10970385431,48338227675,67420124359,22404680512
2005,MG,Sudeste,188364435580,26860015866,161504419717,10658169753,52034505232,73116001855,25695742844
2006,MG,Sudeste,212659547189,28754249360,183905297813,11857908312,56111882563,87080988040,28854518892
2007,MG,Sudeste,240355238652,32816509568,207538729096,12428624358,64308679144,97991659695,32809765886
2008,MG,Sudeste,278607619372,39239112011,239368507363,14388149013,76378849468,110079950511,38521558350
2009,MG,Sudeste,287443848047,37096382559,250347465526,14571454708,74838455811,119545394923,41392160074
2010,MG,Sudeste,351123417732,45949447652,305173970112,17085912934,101270554352,140770072144,46047430671
2011,MG,Sudeste,400124687035,50492605083,349632081952,23795245679,115949813034,158390911919,51496111285
2012,MG,Sudeste,442282829874,55186906899,387095922959,25557441964,120130146084,183985312457,57423022420
2013,MG,Sudeste,488004903011,59194475250,428810427770,24063866415,131169704920,208202298962,65374557487
2014,MG,Sudeste,516633984096,62480551613,454153432503,25586133683,130897370606,225777878712,71892049500
2015,MG,Sudeste,519331213138,61888199911,457443013237,24438676070,119300650551,234808509816,78895176793
2016,MG,Sudeste,544810468390,66337726253,478472742134,33215807203,118431799796,242718547518,84106587630
2017,MG,Sudeste,576375544684,71299932822,505075611879,28711502201,128464906810,257819675107,90079527743
2018,MG,Sudeste,614875819797,76091166509,538784653286,28048257601,142818974946,274659351888,93258068845
2019,MG,Sudeste,651872684368,80407704926,571464979424,26402412264,154833585073,293927167458,96301814633
2020,MG,Sudeste,682786116407,81702629619,601083486791,39984391167,166049071678,295100108860,99949915102
2002,ES,Sudeste,27048996552,4743779770,22305216780,784413923,8164182067,9766872482,3589748305
2003,ES,Sudeste,31519105782,5928371459,25590734324,939678833,9308734726,10953541587,4388779180
2004,ES,Sudeste,39732638403,8090619071,31642019334,1243588343,11598311883,13844020954,4956098156
2005,ES,Sudeste,47020587607,9860322747,37160264861,1520321853,14125266847,15665874508,5848801657
2006,ES,Sudeste,53463868453,10613904042,42849964414,1771789014,16796218924,17707715287,6574241187
2007,ES,Sudeste,60658394971,12431449710,48226945265,1784128068,18787186070,19891810714,7763820405
2008,ES,Sudeste,72091158094,15043889361,57047268734,2067706751,22249536428,23914052611,8815972948
2009,ES,Sudeste,69215360730,13289886769,55925473967,1990830981,17926728155,26366196877,9641717955
2010,ES,Sudeste,85310284545,15492357734,69817926817,2243197195,26949550399,29493029507,11132149722
2011,ES,Sudeste,105976222185,19849536796,86126685395,2985713905,37166208556,33947168823,12027594098
2012,ES,Sudeste,116850580542,20892275975,95958304566,3176201399,40943377524,38436318300,13402407339
2013,ES,Sudeste,117274346943,19592379712,97681967228,3181360905,39529666737,40287985254,14682954328
2014,ES,Sudeste,128783781147,18979612147,109804169006,3725461411,42713516550,47948489394,15416701646
2015,ES,Sudeste,120365979914,19876292191,100489687727,3780658941,31209703055,49623438322,15875887408
2016,ES,Sudeste,109264423093,17036186914,92228236179,4268658022,22591139613,48999880561,16368557988
2017,ES,Sudeste,113399936793,17889281462,95510655326,4487418285,21310119997,53077025257,16636091787
2018,ES,Sudeste,137020054870,20758186279,116261868591,4383171146,37612827160,56539190177,17726680108
2019,ES,Sudeste,137345595431,22532768972,114812826461,4151890137,30481764274,61227310034,18951862010
2020,ES,Sudeste,138445922361,23585773687,114860148669,5223319619,31468833016,59074177906,19093818133
2002,RJ,Sudeste,184310915236,26363350653,157947564590,964335451,43222791974,82344027486,31416409689
2003,RJ,Sudeste,202640788576,27210322196,175430466373,895853005,49897165336,90704853896,33932594138
2004,RJ,Sudeste,241206738200,41380114124,199826624079,1259498840,60686374605,100694691246,37186059386
2005,RJ,Sudeste,269830061004,42791156858,227038904138,1225205548,74503631447,110283274921,41026792220
2006,RJ,Sudeste,299738183009,46111716675,253626466336,1250671263,88694875975,118596098716,45084820383
2007,RJ,Sudeste,323698285517,50770827883,272927457629,1142094715,88087477762,133370901140,50326984008
2008,RJ,Sudeste,378285800318,58505234456,319780565862,1349515981,108291606793,152606925286,57532517797
2009,RJ,Sudeste,391650854275,58568551196,333082303075,1578377542,93162141031,175367800470,62973984030
2010,RJ,Sudeste,449858101109,70446093384,379412007722,1534564080,113193367843,195662515656,69021560138
2011,RJ,Sudeste,512767904769,76488065390,436279839388,2135262604,135538880466,221180566343,77425129983
2012,RJ,Sudeste,574884973130,85263648838,489621324286,2366835449,159147132443,245152705484,82954650915
2013,RJ,Sudeste,628226069362,93265623518,534960445849,2442473270,162747371267,274802728527,94967872787
2014,RJ,Sudeste,671076844311,91738016960,579338827353,2841308862,171683729092,301915183190,102898606221
2015,RJ,Sudeste,659138951833,102739729275,556399222556,3013657572,131278633425,311578179272,110528752291
2016,RJ,Sudeste,640401206447,98268585581,542132620875,3077081381,98798160628,321677730423,118579648441
2017,RJ,Sudeste,671605668055,108118186566,563487481487,2926015454,104711661099,333966132184,121883672741
2018,RJ,Sudeste,758859046865,128426472455,630432574406,2966697024,149958584450,351765717508,125741575425
2019,RJ,Sudeste,779927917084,118873682437,661054234647,3031269702,165781864369,358325288748,133915811826
2020,RJ,Sudeste,753823710636,99694008692,654129701938,3694432895,157479025721,357264648854,135691594461
2002,SP,Sudeste,518878815174,88097621942,430781193225,14112139396,118210692743,256294875376,42163485696
2003,SP,Sudeste,591454031635,98628640750,492825390857,15683499095,143622014159,285815756513,47704121098
2004,SP,Sudeste,652955557517,113530236573,539425320932,14796608485,165114209788,308067125771,51447376902
2005,SP,Sudeste,743042944444,123757765990,619285178454,15586855310,184335424781,360853722547,58509175811
2006,SP,Sudeste,824529299048,137692429176,686836869875,19562571868,188399770870,413597840574,65276686560
2007,SP,Sudeste,935653179992,153407466278,782245713723,21201862172,216184754118,468964492308,75894605122
2008,SP,Sudeste,1042510167945,188503887392,854006280551,18004557763,235842155586,513150755327,87008811874
2009,SP,Sudeste,1127093826121,187722179074,939371647051,23610343423,246679409265,569506358144,99575536215
2010,SP,Sudeste,1294695988452,222855586778,1071840401675,22631448895,290102478082,656454246460,102652228253
2011,SP,Sudeste,1436672709019,251839888311,1184832820722,23370861707,305359570402,743871229163,112231159451
2012,SP,Sudeste,1559033443696,272334442925,1286699000774,23809337254,306561087141,833816173849,122512402539
2013,SP,Sudeste,1715238416566,295812194267,1419426222285,26457535094,323072407694,927683721804,142212557694
2014,SP,Sudeste,1858196055494,305323158636,1552872896859,27335095707,341738687134,1032873124291,150925989744
2015,SP,Sudeste,1939901907118,313897699637,1626004207507,26323233627,356652544088,1078986194483,164042235300
2016,SP,Sudeste,2038757381630,313449931906,1725307449733,35827656845,369476372921,1153330169822,166673250143
2017,SP,Sudeste,2120761635108,334019846614,1786741788504,36514604660,378976194843,1198136757946,173114231084
2018,SP,Sudeste,2210561949467,357765052210,1852796897265,31617650394,391375334425,1250257602993,179546309465
2019,SP,Sudeste,2348338000290,373027516062,1975310484236,33074726102,400871794192,1354778258158,186585705779
2020,SP,Sudeste,2377638979835,362788671543,2014850308310,44391204963,416873007358,1356311969181,197274126779
2002,PR,Sul,88235714970,11882496936,76353218041,8462914918,23308010446,34972719033,9609573655
2003,PR,Sul,110039414399,13557011888,96482402507,12452820328,28301257344,44634463224,11093861614
2004,PR,Sul,123451529532,15745288770,107706240771,12231959118,33450052400,49896436508,12127792758
2005,PR,Sul,127464507454,16847472015,110617035442,10348528250,33836920396,52481146874,13950439935
2006,PR,Sul,137648310679,18199411582,119448899088,10041830908,35491045720,58515504746,15400517719
2007,PR,Sul,165208890958,21244261566,143964629408,12808334019,41390051261,72532339778,17233904355
2008,PR,Sul,185683858660,26258915201,159424943470,16477829540,44581807414,78915761757,19449544765
2009,PR,Sul,196675611941,25632085267,171043526692,14639071111,48466186679,86647673269,21290595635
2010,PR,Sul,225205254696,32280693609,192924561095,17801329722,54221390990,97169280653,23732559707
2011,PR,Sul,257122268525,38271155855,218851112672,20734957581,62004882445,109155492507,26955780168
2012,PR,Sul,285620201624,42692943832,242927257796,22230118689,64970522513,124768185518,30958431081
2013,PR,Sul,333481152162,45802534856,287678617304,29915244891,74996316032,146779374231,35987682146
2014,PR,Sul,348084190849,46977486611,301106704239,28599808402,75758469754,156145617604,40602808470
2015,PR,Sul,376962821632,50332271966,326630549659,29397753791,83080350707,170340963760,43811481398
2016,PR,Sul,401814164419,50484607748,351329556664,34670442292,90310036326,177295276068,49053801962
2017,PR,Sul,421497870228,55469453738,366028416488,34454306960,92835937761,186215668484,52522503283
2018,PR,Sul,440029402862,57461290194,382568112675,36364979070,93690647675,199520383153,52992102770
2019,PR,Sul,466377036431,60748249689,405628786743,34337307260,105779995145,210476598611,55034885719
2020,PR,Sul,487930593779,61561140578,426369453210,56493860969,111144409448,201893052968,56838129811
2002,SC,Sul,54481893216,7132704773,47349188451,4854758863,14759198396,21458344746,6276886442
2003,SC,Sul,64098474683,8590621518,55507853161,5888997388,17292723888,25024765615,7301366278
2004,SC,Sul,73618965923,9422519561,64196446358,6056098884,21240360317,29051305794,7848681371
2005,SC,Sul,81549243683,11425596405,70123647291,5878781082,22321015731,32790057474,9133792997
2006,SC,Sul,91063448624,12416926228,78646522392,5792085059,25355323265,37226710670,10272403403
2007,SC,Sul,103728092246,14227780705,89500311532,6554496565,30979327705,40271014827,11695472439
2008,SC,Sul,121477257847,17423076279,104054181574,8364734084,33991287324,47921138140,13777022031
2009,SC,Sul,129098535042,17815932676,111282602352,8584319545,34414768058,53177893133,15105621618
2010,SC,Sul,153726007373,23256366773,130469640597,8942401725,42611872268,62085765977,16829600643
2011,SC,Sul,174068321733,27123556003,146944765731,8939526524,49573572687,69597714584,18833951946
2012,SC,Sul,191794652139,29742364896,162052287252,8896852548,52362594054,80005603716,20787236933
2013,SC,Sul,214512241571,33540617487,180971624086,12115977124,55719105848,88942119705,24194421408
2014,SC,Sul,242553370851,37721069521,204832301343,12676377376,62122645355,103567166629,26466111977
2015,SC,Sul,249079642281,39409220873,209670421422,12485692666,60267844596,108382197719,28534686416
2016,SC,Sul,256754668524,38841574514,217913094013,15004686364,59126499132,112348758121,31433150392
2017,SC,Sul,277270236580,43322451092,233947785491,14212205733,63230006319,122831214491,33674358942
2018,SC,Sul,298227090046,50319055812,247908034249,13671160375,66293250066,132462223011,35481400794
2019,SC,Sul,323263857398,55372570510,267891286895,15204640548,71166135078,143837768733,37682742536
2020,SC,Sul,349275015538,59990110988,289284904548,19402797571,78132238752,153999389375,37750478847
2002,RS,Sul,98847210906,14349583085,84497627809,9210447013,22444214831,42685527782,10157438181
2003,RS,Sul,119325398651,16871282495,102454116164,14081726481,27365989283,48573591942,12432808464
2004,RS,Sul,131192206297,19530531936,111661674357,12759033716,32585889650,53006277016,13310473973
2005,RS,Sul,136362768609,21952887970,114409880643,8143541035,32687548328,58790535818,14788255461
2006,RS,Sul,147622599264,22855633778,124766965490,10540411559,32988726381,64837007009,16400820538
2007,RS,Sul,168009752063,24520217811,143489534246,13035288636,36075536015,75726012802,18652696807
2008,RS,Sul,190229822436,29109346855,161120475592,15835785170,41144445431,83405243436,20735001567
2009,RS,Sul,204344940204,29203363043,175141577148,15580480565,48166085324,88972292339,22422718898
2010,RS,Sul,241249163899,35446457089,205802706817,17162698161,57499409470,102427755084,28712844109
2011,RS,Sul,265056416296,38683000844,226373415445,18877243180,61446640103,114678775614,31370756528
2012,RS,Sul,287587018678,42099905454,245487113219,16293754437,65393614081,129347434110,34452310595
2013,RS,Sul,332292726085,45627566085,286665159991,28784075939,69445164634,147890741620,40545177793
2014,RS,Sul,357816423821,47889286236,309927137595,28904542355,72455166896,163249953898,45317474449
2015,RS,Sul,381992601118,48574905799,333417695324,31271499110,77437931506,175969731780,48738532904
2016,RS,Sul,408789528054,52764580210,356024947822,36269541283,81763596272,187247789371,50744020897
2017,RS,Sul,423270047295,56166979636,367103067666,33612228094,82102382078,198169281965,53219175511
2018,RS,Sul,457293957594,60760044033,396533913537,35592662656,88973678673,214644724014,57322848201
2019,RS,Sul,482464177479,62316076148,420148101319,36264071570,94640915498,227082030512,62161083712
2020,RS,Sul,470941846057,60940138440,410001707605,36152317741,95234088624,216008064580,62607236661
2002,MS,Centro-Oeste,16440423926,1825763993,14614659932,3704293509,2414309643,5857580657,2638476116
2003,MS,Centro-Oeste,21846566336,2487709178,19358857158,5603807024,3179522155,7428209376,3147318609
2004,MS,Centro-Oeste,23372308186,2995523400,20376784782,4928541597,3868505120,7928649563,3651088504
2005,MS,Centro-Oeste,23725258355,3331839706,20393418654,3492881141,3731937053,9079641035,4088959430
2006,MS,Centro-Oeste,26667893812,3782241979,22885651831,3614580790,4406875197,9931655572,4932540273
2007,MS,Centro-Oeste,30084765195,4358950022,25725815177,4288215660,4270984236,11579196544,5587418745
2008,MS,Centro-Oeste,36219263039,5451263331,30767999700,5946530422,5305441618,12986128927,6529898750
2009,MS,Centro-Oeste,39517741740,5366525053,34151216690,5968605716,6212919871,14736152693,7233538405
2010,MS,Centro-Oeste,47270656394,5774643847,41496012552,7151612325,9380762956,16777300910,8186336355
2011,MS,Centro-Oeste,55133162451,6787270186,48345892261,8475223911,10946619254,19650183665,9273865427
2012,MS,Centro-Oeste,62013200885,7372619948,54640580938,9672427630,12318089087,22393201005,10256863217
2013,MS,Centro-Oeste,69203201262,7956459436,61246741825,10848014821,13534624371,25054324840,11809777797
2014,MS,Centro-Oeste,78950132709,8577514645,70372618057,12195262841,15220133122,30331933766,12625288325
2015,MS,Centro-Oeste,83082554714,8765977682,74316577031,13644663795,16375541007,30673810277,13622561943
2016,MS,Centro-Oeste,91892285159,9225096028,82667189133,15920945143,18678151004,32792432971,15275660017
2017,MS,Centro-Oeste,96396433756,9955459287,86440974465,15199479164,19094159024,35431615262,16715721015
2018,MS,Centro-Oeste,106969141696,10785548161,96183593537,18296454346,21406102497,38563839105,17917197593
2019,MS,Centro-Oeste,106943246416,11802284467,95140961949,16266178181,20483615518,38821933550,19569234705
2020,MS,Centro-Oeste,122627726080,12730268897,109897457185,26045011196,23313710730,40463334838,20075400418
2002,MT,Centro-Oeste,19190652533,2476104731,16714547797,4053906412,3044815634,6566238321,3049587433
2003,MT,Centro-Oeste,26697096887,3262108966,23434987909,6911803925,3613938812,9364127181,3545118004
2004,MT,Centro-Oeste,33388670158,4106943752,29281726405,9243226306,5478654213,10628756489,3931089393
2005,MT,Centro-Oeste,34257054621,4223134375,30033920250,8364458626,5198473042,11881369127,4589619468
2006,MT,Centro-Oeste,30700164573,4467009982,26233154589,4115653615,4432619131,12375105624,5309776216
2007,MT,Centro-Oeste,38027578413,4969382857,33058195563,6498656452,5176258584,15318360886,6064919642
2008,MT,Centro-Oeste,49202505249,6025343263,43177161986,9832948496,6490773390,19636448487,7216991616
2009,MT,Centro-Oeste,52693416786,6332418655,46360998142,9891748968,7129628897,21345725794,7993894478
2010,MT,Centro-Oeste,56600955373,6826407756,49774547612,8373222532,9770833413,22575617824,9054873855
2011,MT,Centro-Oeste,69153956735,7553524011,61600432725,13606987612,10999848540,26855697848,10137898736
2012,MT,Centro-Oeste,79665691137,9215533725,70450157413,17431769554,11064469518,30643168187,11310750153
2013,MT,Centro-Oeste,89212918588,10733133270,78479785311,18403528187,13826119832,33175417134,13074720159
2014,MT,Centro-Oeste,101234520268,10423118357,90811401921,19080402261,15824596355,41243642012,14662761311
2015,MT,Centro-Oeste,107418318632,9820544148,97597774485,19323226798,17124333398,44688809409,16461404866
2016,MT,Centro-Oeste,123880295558,11965235742,111915059813,25083183867,18327662678,49629725275,18874487993
2017,MT,Centro-Oeste,126845897787,14528034054,112317863735,22529143287,17045048654,52831420277,19912251528
2018,MT,Centro-Oeste,137442852834,14748701417,122694151423,25684098881,19398439739,56343006152,21268606648
2019,MT,Centro-Oeste,142122027969,15503622934,126618405033,27051018424,20585079174,56980389866,22001917567
2020,MT,Centro-Oeste,178649563700,19040711886,159608851818,46004316712,27663774472,62253821963,23686938663
2002,GO,Centro-Oeste,38629364574,4484244717,34145119868,5051406044,8737191313,14922918441,5433604075
2003,GO,Centro-Oeste,45557889216,5501047223,40056841984,5978347937,10090205319,17765222257,6223066481
2004,GO,Centro-Oeste,51103815346,5569127984,45534687383,6597089046,12094099774,19726898913,7116599649
2005,GO,Centro-Oeste,53865112567,6062806613,47802305949,4949243020,13117514181,21706638015,8028910732
2006,GO,Centro-Oeste,61375402643,7110975334,54264427317,4227251206,14737378758,26222300447,9077496916
2007,GO,Centro-Oeste,71410567717,8122453277,63288114448,5768765835,18003282454,29247415428,10268650731
2008,GO,Centro-Oeste,82417563800,9944062790,72473501011,7614712941,20151244249,32938241089,11769302731
2009,GO,Centro-Oeste,92865743084,10763392310,82102350778,9127195018,22791027800,37865107446,12319020510
2010,GO,Centro-Oeste,106770109478,13524109748,93245999720,10376549294,26426091169,42117306364,14326052903
2011,GO,Centro-Oeste,121296720836,16169881053,105126839784,11615992522,28318485034,48899905717,16292456515
2012,GO,Centro-Oeste,138757825030,16281342038,122476482987,14076185796,31753852461,58523824008,18122620723
2013,GO,Centro-Oeste,151300175113,17491889632,133808285481,16443064606,34474150791,62138112013,20752958079
2014,GO,Centro-Oeste,165015318467,18454976809,146560341662,15645244889,34823316823,73155671702,22936108235
2015,GO,Centro-Oeste,173632450243,19058998309,154573451928,16107352630,37806900135,76120154718,24539044436
2016,GO,Centro-Oeste,181759603534,19652308568,162107294953,19727710795,37192410100,79562123678,25625050386
2017,GO,Centro-Oeste,191948301048,20647120873,171301180168,19423014552,37097357607,86094314437,28686493566
2018,GO,Centro-Oeste,195681723991,21791556394,173890167588,19905389676,36092370052,87575964086,30316443768
2019,GO,Centro-Oeste,208672491708,23475570946,185196920768,21176310751,39177869333,91287240881,33555499807
2020,GO,Centro-Oeste,224126112041,24293378912,199832733139,29022562983,47124851599,89797907217,33887411346
2002,DF,Centro-Oeste,53902199799,6926279208,46975920591,165416683,4089946543,21927573402,20792983964
2003,DF,Centro-Oeste,58456124319,8184362560,50271761758,202741092,3626552963,23457578470,22984889233
2004,DF,Centro-Oeste,67076505202,9052714237,58023790964,207927238,4582968259,26294290396,26938605071
2005,DF,Centro-Oeste,75732681210,10861777419,64870903791,233067382,5404386536,29543222809,29690227064
2006,DF,Centro-Oeste,84661405538,11310685519,73350720019,189609085,4714630368,34310022860,34136457706
2007,DF,Centro-Oeste,93404000766,11877963964,81526036802,262024894,5237235023,38931154849,37095622036
2008,DF,Centro-Oeste,110299557146,15856586864,94442970282,316058423,5726278901,45514197129,42886435828
2009,DF,Centro-Oeste,124323753082,17605560039,106718193043,364899931,7660050614,48584244132,50108998365
2010,DF,Centro-Oeste,144174101595,22553878700,121620222895,327804575,9184148921,58259560974,53848708424
2011,DF,Centro-Oeste,154568953955,22938023988,131630929967,616419106,9376544959,62166346253,59471619649
2012,DF,Centro-Oeste,164101336475,25839513776,138261822699,493362299,9705773895,67883270248,60179416257
2013,DF,Centro-Oeste,175906725532,25103790066,150802935466,612235250,9690310704,73716987942,66783401570
2014,DF,Centro-Oeste,197432058527,26230292508,171201766020,770067554,11346921785,85358920839,73725855841
2015,DF,Centro-Oeste,215612862838,29318811520,186294051318,626694085,9996983948,92375778698,83294594587
2016,DF,Centro-Oeste,235540044811,29145619376,206394425435,820754661,9662357225,103859865830,92051447720
2017,DF,Centro-Oeste,244722249337,29120461647,215601787690,828313642,8448768236,108322119432,98002586380
2018,DF,Centro-Oeste,254817204692,28692287369,226124917323,1022690641,9541298290,113768086938,101792841454
2019,DF,Centro-Oeste,273613711477,30686607647,242927103829,992393584,9453608031,125261853488,107219248727
2020,DF,Centro-Oeste,265847334003,25466227775,240381106228,1623976909,10942472569,116547655370,111267001381
